SID,Trial,RT,Duration
20130725T104220,Go,1.8031,1.8165
20130725T104220,Go,0.50165,0.51671
20130725T104220,Go,0.67368,0.68324
20130725T104220,Go,0.81909,0.83319
20130725T104220,Go,1.0018,1.0163
20130725T104220,Go,1.0555,1.0665
20130725T104220,Go,0.64209,0.64969
20130725T104220,Go,0.59976,0.61653
20130725T104220,Go,0.81934,0.83322
20130725T104220,Go,1.0382,1.0499
20130725T104220,Go,1.9032,1.9164
20130725T104220,Go,0.73038,0.73326
20130725T104220,Go,1.0137,1.0165
20130725T104220,Go,1.5767,1.5833
20130725T104220,Go,1.5696,1.5831
20130725T104220,Go,1.0473,1.0499
20130725T104220,Stop,,2.2163
