SID,Trial,Stop,Delay,RT,Code,Duration,Mean
20130802T125939,Go,0,,1.1652,3,1.1831,1.1652
20130802T125939,Go,0,,0.45707,3,0.46665,0.81114
20130802T125939,Go,0,,0.31916,3,0.33253,0.64715
20130802T125939,Go,0,,0.26483,3,0.26683,0.55157
20130802T125939,Go,0,,0.46006,3,0.46757,0.53326
20130802T125939,Go,0,,0.13879,3,0.14903,0.46752
20130802T125939,Go,0,,0.20987,3,0.21702,0.43071
20130802T125939,Go,0,,0.24644,3,0.24958,0.40768
20130802T125939,Go,0,,0.21772,3,0.233,0.38657
20130802T125939,Go,0,,0.27086,3,0.28256,0.375
20130802T125939,Go,0,,0.20048,3,0.21545,0.35914
20130802T125939,Go,0,,0.47147,3,0.48195,0.3685
20130802T125939,Go,0,,0.87347,3,0.88318,0.40734
20130802T125939,Go,0,,0.64104,3,0.64988,0.42403
20130802T125939,Go,0,,0.26295,3,0.2666,0.4133
20130802T125939,Go,0,,0.27588,3,0.28322,0.40471
20130802T125939,Go,0,,0.65471,3,0.66658,0.41941
20130802T125939,Go,0,,0.29007,3,0.29988,0.41223
20130802T125939,Go,0,,0.77642,3,0.78372,0.4314
20130802T125939,Go,0,,0.91056,3,0.91786,0.45535
20130802T125939,Go,0,,0.31541,3,0.33324,0.44869
20130802T125939,Go,0,,0.27124,3,0.28142,0.44062
20130802T125939,Go,0,,0.61052,3,0.61764,0.44801
20130802T125939,Go,0,,0.25095,3,0.26601,0.4398
20130802T125939,Stop,1,0.42403,,1,2.4331,0.4398
20130802T125939,Go,0,,,4,2.2164,0.4398
20130802T125939,Go,0,,1.008,3,1.0162,0.46253
20130802T125939,Go,0,,1.7003,3,1.7163,0.51013
20130802T125939,Go,0,,0.4113,3,0.41678,0.50647
20130802T125939,Stop,1,0.4407,0.25706,2,0.26658,0.49757
20130802T125939,Go,0,,,4,2.2163,0.49757
20130802T125939,Go,0,,0.63804,3,0.64811,0.50241
20130802T125939,Go,0,,0.47018,3,0.48184,0.50133
20130802T125939,Stop,1,0.42403,,1,2.433,0.50133
20130802T125939,Go,0,,1.3447,3,1.348,0.52854
20130802T125939,Go,0,,0.65315,3,0.66636,0.53243
20130802T125939,Go,0,,,4,2.2161,0.53243
20130802T125939,Go,0,,0.3799,3,0.3832,0.52781
20130802T125939,Go,0,,0.56569,3,0.58324,0.52893
20130802T125939,Stop,1,0.4407,0.49117,2,0.4989,0.52785
20130802T125939,Go,0,,0.40659,3,0.41653,0.52448
20130802T125939,Stop,1,0.42403,,1,2.4327,0.52448
20130802T125939,Go,0,,,4,2.2163,0.52448
20130802T125939,Go,0,,,4,2.2164,0.52448
20130802T125939,Go,0,,,4,2.2163,0.52448
20130802T125939,Go,0,,,4,2.2163,0.52448
20130802T125939,Go,0,,,4,2.2163,0.52448
20130802T125939,Go,0,,,4,2.2164,0.52448
20130802T125939,Stop,1,0.4407,,1,2.4497,0.52448
