SID,Trial,Stop,Z (s),Delay (s),RT (s),Code,Duration (s),Mean (s)
20130818T232659,Go,0,,,1.3956,3,1.4162,1.3956
20130818T232659,Go,0,,,0.25779,3,0.26636,0.82667
20130818T232659,Go,0,,,,4,2.216,0.82667
20130818T232659,Go,0,,,1.5537,3,1.565,1.069
20130818T232659,Go,0,,,0.16226,3,0.16629,0.84232
20130818T232659,Go,0,,,0.00015163,3,0.016296,0.67388
20130818T232659,Go,0,,,0.61986,3,0.63154,0.66488
20130818T232659,Go,0,,,0.20903,3,0.21627,0.59976
20130818T232659,Go,0,,,0.52153,3,0.53286,0.58998
20130818T232659,Go,0,,,0.32634,3,0.33298,0.56069
20130818T232659,Go,0,,,0.25446,3,0.2662,0.53006
20130818T232659,Go,0,,,0.33276,3,0.34951,0.51213
20130818T232659,Go,0,,,0.22399,3,0.23268,0.48812
20130818T232659,Go,0,,,0.5802,3,0.58288,0.4952
20130818T232659,Go,0,,,0.23178,3,0.23346,0.47638
20130818T232659,Go,0,,,0.26798,3,0.28298,0.46249
20130818T232659,Go,0,,,,4,2.216,0.46249
20130818T232659,Go,0,,,0.28317,3,0.29953,0.45128
20130818T232659,Stop,1,0.20128,0.25,0.55934,2,0.56626,0.45764
20130818T232659,Go,0,,,0.36259,3,0.36623,0.45236
20130818T232659,Stop,1,0.18569,0.26667,,1,2.1993,0.45236
20130818T232659,Go,0,,,0.9674,3,0.98164,0.47947
20130818T232659,Go,0,,,0.44029,3,0.44959,0.47751
20130818T232659,Go,0,,,2.1716,3,2.1828,0.55818
20130818T232659,Go,0,,,0.40451,3,0.41544,0.55119
20130818T232659,Go,0,,,0.38873,3,0.39951,0.54413
20130818T232659,Go,0,,,0.44928,3,0.46625,0.54018
20130818T232659,Go,0,,,0.38318,3,0.39959,0.5339
20130818T232659,Go,0,,,0.47618,3,0.48286,0.53168
20130818T232659,Go,0,,,0.60841,3,0.61621,0.53452
20130818T232659,Go,0,,,0.96426,3,0.96605,0.54987
20130818T232659,Go,0,,,0.39864,3,0.41619,0.54465
20130818T232659,Stop,1,0.29465,0.25,0.38105,2,0.38307,0.5392
20130818T232659,Stop,1,0.27253,0.26667,,1,2.2827,0.5392
20130818T232659,Go,0,,,1.9255,3,1.9328,0.58392
20130818T232659,Go,0,,,1.0916,3,1.0996,0.59979
20130818T232659,Go,0,,,0.76101,3,0.76632,0.60467
20130818T232659,Stop,1,0.35467,0.25,,1,2.366,0.60467
20130818T232659,Go,0,,,,4,2.216,0.60467
20130818T232659,Go,0,,,,4,2.2159,0.60467
