SID,Run,Trial,RawOnset (ms),TROnset,Go/Stop,Stop,Z (s),Delay (s),Response,RT (s),Code,Duration (s),Jitter (ms),Mean (s),Trial Duration (s),Onset Difference (s),Trial Duration (ms),Onset Difference (ms),Latency (ms),,Block,Expected Block Duration (ms),Actual Block Duration (ms),Block Duration Difference (ms),Calculated By-Trial Latency (ms),Total Outside cycle() Latency (ms),Outside cycle() Latency Per Trial (ms)
20130820T151145,1,1,5772.0893,2.3088,Stop,1,0.35,0.25,,,1,2.3664,3002.2946,NaN,5.3686946,5.4255815,5368.6946,5425.5815,56.8869,,1,218000,225776.9216,7776.9216,832.2939,6944.6277,138.892554
20130820T151145,1,2,11197.6708,4.4791,Go,0,,,,,4,2.2165,2650.3973,NaN,4.8668973,4.8941065,4866.8973,4894.1065,27.2092,,2,218000,225621.797,7621.797,779.8098,6841.9872,136.839744
20130820T151145,1,3,16091.7773,6.4367,Stop,1,0.36667,0.26667,,,1,2.3831,1983.6631,NaN,4.3667631,4.3738274,4366.7631,4373.8274,7.0643,,3,218000,225829.6501,7829.6501,987.9772,6841.6729,136.833458
20130820T151145,1,4,20465.6047,8.1862,Go,0,,,,,4,2.2165,1650.3201,NaN,3.8668201,3.8830465,3866.8201,3883.0465,16.2264,,4,218000,225622.9436,7622.9436,784.9489,6837.9947,136.759894
20130820T151145,1,5,24348.6512,9.7395,Go,0,,,,,4,2.2165,2650.3152,NaN,4.8668152,4.8829492,4866.8152,4882.9492,16.134,,,,,,,,
20130820T151145,1,6,29231.6004,11.6926,Go,0,,,,,4,2.2165,2650.3211,NaN,4.8668211,4.8829671,4866.8211,4882.9671,16.146,,,,,,,,
20130820T151145,1,7,34114.5675,13.6458,Go,0,,,,,4,2.2165,2150.5129,NaN,4.3670129,4.3831354,4367.0129,4383.1354,16.1225,,,,,,,,
20130820T151145,1,8,38497.7029,15.3991,Go,0,,,,,4,2.2165,2650.3385,NaN,4.8668385,4.8869594,4866.8385,4886.9594,20.1209,,,,,,,,
20130820T151145,1,9,43384.6623,17.3539,Stop,1,0.33333,0.23333,,,1,2.3498,2516.982,NaN,4.866782,4.8794971,4866.782,4879.4971,12.7151,,,,,,,,
20130820T151145,1,10,48264.1594,19.3057,Stop,1,0.33333,0.23333,,,1,2.3497,1516.9847,NaN,3.8666847,3.8821146,3866.6847,3882.1146,15.4299,,,,,,,,
20130820T151145,1,11,52146.274,20.8585,Go,0,,,,,4,2.2165,2150.3331,NaN,4.3668331,4.3830983,4366.8331,4383.0983,16.2652,,,,,,,,
