SID,Run,Trial,RawOnset (ms),TROnset,Go/Stop,Stop,Z (s),Delay (s),Response,RT (s),Code,Duration (s),Jitter (ms),Mean (s),Trial Duration (s),Onset Difference (s),Trial Duration (ms),Onset Difference (ms),Latency (ms),,Block,Expected Block Duration (ms),Actual Block Duration (ms),Block Duration Difference (ms),Calculated Between-Trial Latency (ms),Remaining Within cycle() Latency (ms),Within cycle() Latency Per Trial (ms)
20130821T161643,1,1,5764.8191,2.3059,Stop,1,0.36667,0.23333,,,1,2.3664,2983.6091,NaN,5.3500091,5.3967413,5350.0091,5396.7413,46.7322,,1,218000,218814.2767,814.2767,903.7869,-89.5102,-1.790204
20130821T161643,1,2,11161.5604,4.4646,Go,0,,,,,4,2.1998,2498.3897,NaN,4.6981897,4.7025966,4698.1897,4702.5966,4.4069,,2,218000,218797.1847,797.1847,889.0454,-91.8607,-1.837214
20130821T161643,1,3,15864.157,6.3457,Go,0,,,,,4,2.1998,1998.4794,NaN,4.1982794,4.2163024,4198.2794,4216.3024,18.023,,3,218000,218793.4309,793.4309,885.8922,-92.4613,-1.849226
20130821T161643,1,4,20080.4594,8.0322,Go,0,,,,,4,2.1998,1498.4825,NaN,3.6982825,3.7163519,3698.2825,3716.3519,18.0694,,4,218000,218795.8773,795.8773,888.6813,-92.804,-1.85608
20130821T161643,1,5,23796.8113,9.5187,Go,0,,,,,4,2.1998,2498.3263,NaN,4.6981263,4.7161976,4698.1263,4716.1976,18.0713,,,,218800.1924,800.1924,891.85145,-91.65905,-1.833181
20130821T161643,1,6,28513.0089,11.4052,Go,0,,,,,4,2.1998,2498.3627,NaN,4.6981627,4.7164035,4698.1627,4716.4035,18.2408,,,,,,,,
20130821T161643,1,7,33229.4124,13.2918,Go,0,,,,,4,2.1998,1998.4546,NaN,4.1982546,4.2216918,4198.2546,4221.6918,23.4372,,,,,,,,
20130821T161643,1,8,37451.1042,14.9804,Stop,1,0.35,0.25,,,1,2.3498,2498.3339,NaN,4.8481339,4.8607745,4848.1339,4860.7745,12.6406,,,,,,,,
20130821T161643,1,9,42311.8787,16.9248,Go,0,,,,,4,2.1998,2498.3259,NaN,4.6981259,4.7163075,4698.1259,4716.3075,18.1816,,,,,,,,
20130821T161643,1,10,47028.1862,18.8113,Go,0,,,,,4,2.1998,1498.3831,NaN,3.6981831,3.7163138,3698.1831,3716.3138,18.1307,,,,,,,,
20130821T161643,1,11,50744.5,20.2978,Go,0,,,,,4,2.1998,1998.3849,NaN,4.1981849,4.216361,4198.1849,4216.361,18.1761,,,,,,,,
20130821T161643,1,12,54960.861,21.9843,Go,0,,,,,4,2.1998,1498.3683,NaN,3.6981683,3.7165416,3698.1683,3716.5416,18.3733,,,,,,,,
20130821T161643,1,13,58677.4026,23.471,Go,0,,,,,4,2.1998,1498.3293,NaN,3.6981293,3.7201436,3698.1293,3720.1436,22.0143,,,,,,,,
20130821T161643,1,14,62397.5462,24.959,Stop,1,0.35,0.25,,,1,2.3498,1998.3248,NaN,4.3481248,4.3630819,4348.1248,4363.0819,14.9571,,,,,,,,
20130821T161643,1,15,66760.6281,26.7043,Stop,1,0.35,0.25,,,1,2.3498,1998.339,NaN,4.348139,4.3655364,4348.139,4365.5364,17.3974,,,,,,,,
20130821T161643,1,16,71126.1645,28.4505,Go,0,,,,,4,2.1998,1498.3594,NaN,3.6981594,3.7168885,3698.1594,3716.8885,18.7291,,,,,,,,
20130821T161643,1,17,74843.053,29.9372,Stop,1,0.36667,0.23333,,,1,2.3665,1481.6814,NaN,3.8481814,3.8658531,3848.1814,3865.8531,17.6717,,,,,,,,
20130821T161643,1,18,78708.9061,31.4836,Go,0,,,,,4,2.1998,2498.3293,NaN,4.6981293,4.7163079,4698.1293,4716.3079,18.1786,,,,,,,,
20130821T161643,1,19,83425.214,33.3701,Go,0,,,,,4,2.1998,2498.5745,NaN,4.6983745,4.7165366,4698.3745,4716.5366,18.1621,,,,,,,,
20130821T161643,1,20,88141.7506,35.2567,Go,0,,,,,4,2.1997,1998.3215,NaN,4.1980215,4.2159908,4198.0215,4215.9908,17.9693,,,,,,,,
20130821T161643,1,21,92357.7414,36.9431,Go,0,,,,,4,2.1998,2498.5713,NaN,4.6983713,4.7171984,4698.3713,4717.1984,18.8271,,,,,,,,
20130821T161643,1,22,97074.9398,38.83,Stop,1,0.35,0.25,,,1,2.3498,1998.3472,NaN,4.3481472,4.3654941,4348.1472,4365.4941,17.3469,,,,,,,,
20130821T161643,1,23,101440.4339,40.5762,Go,0,,,,,4,2.1998,2998.3245,NaN,5.1981245,5.2162146,5198.1245,5216.2146,18.0901,,,,,,,,
20130821T161643,1,24,106656.6485,42.6627,Go,0,,,,,4,2.1998,2498.3442,NaN,4.6981442,4.7163459,4698.1442,4716.3459,18.2017,,,,,,,,
20130821T161643,1,25,111372.9944,44.5492,Go,0,,,,,4,2.1998,1498.4109,NaN,3.6982109,3.7163208,3698.2109,3716.3208,18.1099,,,,,,,,
20130821T161643,1,26,115089.3152,46.0357,Go,0,,,,,4,2.1998,2998.4037,NaN,5.1982037,5.2163884,5198.2037,5216.3884,18.1847,,,,,,,,
20130821T161643,1,27,120305.7036,48.1223,Go,0,,,,,4,2.1998,1498.3508,NaN,3.6981508,3.7161208,3698.1508,3716.1208,17.97,,,,,,,,
20130821T161643,1,28,124021.8244,49.6087,Go,0,,,,,4,2.1998,1498.4984,NaN,3.6982984,3.7166624,3698.2984,3716.6624,18.364,,,,,,,,
20130821T161643,1,29,127738.4868,51.0954,Go,0,,,,,4,2.1998,1498.3504,NaN,3.6981504,3.7161446,3698.1504,3716.1446,17.9942,,,,,,,,
20130821T161643,1,30,131454.6314,52.5819,Go,0,,,,,4,2.1998,2498.4178,NaN,4.6982178,4.7169852,4698.2178,4716.9852,18.7674,,,,,,,,
20130821T161643,1,31,136171.6166,54.4686,Stop,1,0.36667,0.23333,,,1,2.3664,1981.6508,NaN,4.3480508,4.3655219,4348.0508,4365.5219,17.4711,,,,,,,,
20130821T161643,1,32,140537.1385,56.2149,Go,0,,,,,4,2.1997,2498.3246,NaN,4.6980246,4.7163459,4698.0246,4716.3459,18.3213,,,,,,,,
20130821T161643,1,33,145253.4844,58.1014,Go,0,,,,,4,2.1998,1998.3198,NaN,4.1981198,4.2163103,4198.1198,4216.3103,18.1905,,,,,,,,
20130821T161643,1,34,149469.7947,59.7879,Go,0,,,,,4,2.1998,1998.3911,NaN,4.1981911,4.2163974,4198.1911,4216.3974,18.2063,,,,,,,,
20130821T161643,1,35,153686.1921,61.4745,Go,0,,,,,4,2.1998,2498.385,NaN,4.698185,4.7163059,4698.185,4716.3059,18.1209,,,,,,,,
20130821T161643,1,36,158402.498,63.361,Go,0,,,,,4,2.1998,2998.3301,NaN,5.1981301,5.2162011,5198.1301,5216.2011,18.071,,,,,,,,
20130821T161643,1,37,163618.6991,65.4475,Go,0,,,,,4,2.1998,1998.3198,NaN,4.1981198,4.2162788,4198.1198,4216.2788,18.159,,,,,,,,
20130821T161643,1,38,167834.9779,67.134,Go,0,,,,,4,2.1998,1498.3776,NaN,3.6981776,3.7163234,3698.1776,3716.3234,18.1458,,,,,,,,
20130821T161643,1,39,171551.3013,68.6205,Go,0,,,,,4,2.1998,1998.3666,NaN,4.1981666,4.2164017,4198.1666,4216.4017,18.2351,,,,,,,,
20130821T161643,1,40,175767.703,70.3071,Go,0,,,,,4,2.1998,1498.323,NaN,3.698123,3.7161986,3698.123,3716.1986,18.0756,,,,,,,,
20130821T161643,1,41,179483.9016,71.7936,Go,0,,,,,4,2.1998,2998.3221,NaN,5.1981221,5.2164113,5198.1221,5216.4113,18.2892,,,,,,,,
20130821T161643,1,42,184700.3129,73.8801,Go,0,,,,,4,2.1998,2498.3223,NaN,4.6981223,4.7163429,4698.1223,4716.3429,18.2206,,,,,,,,
20130821T161643,1,43,189416.6558,75.7667,Go,0,,,,,4,2.1998,1998.4367,NaN,4.1982367,4.2169073,4198.2367,4216.9073,18.6706,,,,,,,,
20130821T161643,1,44,193633.5631,77.4534,Stop,1,0.36667,0.23333,,,1,2.3665,1481.6728,NaN,3.8481728,3.8655981,3848.1728,3865.5981,17.4253,,,,,,,,
20130821T161643,1,45,197499.1612,78.9997,Go,0,,,,,4,2.1998,2498.4761,NaN,4.6982761,4.7171177,4698.2761,4717.1177,18.8416,,,,,,,,
20130821T161643,1,46,202216.2789,80.8865,Stop,1,0.36667,0.23333,,,1,2.3665,2481.655,NaN,4.848155,4.8660957,4848.155,4866.0957,17.9407,,,,,,,,
20130821T161643,1,47,207082.3746,82.8329,Stop,1,0.35,0.25,,,1,2.3498,1998.3294,NaN,4.3481294,4.365699,4348.1294,4365.699,17.5696,,,,,,,,
20130821T161643,1,48,211448.0736,84.5792,Go,0,,,,,4,2.1998,2498.3173,NaN,4.6981173,4.7162661,4698.1173,4716.2661,18.1488,,,,,,,,
