SID,Run,Trial,RawOnset (ms),TROnset,Go/Stop,Stop,Z (s),Delay (s),Response,RT (s),Code,Duration (s),Jitter (ms),Mean (s)
20130821T180152,1,1,1931.3137,0.77253,Stop,1,0.35,0.25,,,1,2.3498,,NaN
20130821T180152,1,2,10050.349,4.0201,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,3,14250.3505,5.7001,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,4,17950.3774,7.1802,Go,0,,,,,4,2.1997,,NaN
20130821T180152,1,5,22650.2579,9.0601,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,6,27350.3754,10.9402,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,7,31550.5461,12.6202,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,8,36250.1943,14.5001,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,9,40950.2688,16.3801,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,10,44650.2112,17.8601,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,11,49000.3566,19.6001,Stop,1,0.33333,0.26667,,,1,2.3331,,NaN
20130821T180152,1,12,52850.3273,21.1401,Stop,1,0.33333,0.26667,,,1,2.3331,,NaN
20130821T180152,1,13,56700.3589,22.6801,Stop,1,0.35,0.25,,,1,2.3498,,NaN
20130821T180152,1,14,60900.3714,24.3601,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,15,65100.2054,26.0401,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,16,68950.338,27.5801,Stop,1,0.33333,0.26667,,,1,2.3331,,NaN
20130821T180152,1,17,72650.196,29.0601,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,18,77350.4566,30.9402,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,19,82050.5092,32.8202,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,20,86250.3393,34.5001,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,21,90950.4376,36.3802,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,22,95150.407,38.0602,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,23,100350.2483,40.1401,Go,0,,,,,4,2.1998,,NaN
20130821T180152,1,24,105200.2482,42.0801,Stop,1,0.33333,0.26667,,,1,2.3332,,NaN
20130821T180152,1,25,108900.3356,43.5601,Go,0,,,,,0,,,NaN
